  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 319   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 320   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 321   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 322    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 323   25    2    0.00   0.00     0      0    0      0      0     0     0.00
 324    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 325    3    2    0.00   0.00     0      0    0      0      0     0     0.00
 326    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 327   23    2    0.00   0.00     0      0    0      0      0     0     0.00
 328    9    0   30.00  30.00     3     10   10      4      9     1    11.11
 329   32    2    0.00   0.00     0      0    0      0      0     0     0.00
 330   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 331    5    2    0.00   0.00     0      0    0      0      0     0     0.00
 332   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 333   56    2    0.00   0.00     0      0    0      0      0     0     0.00
 334   39    2    0.00   0.00     0      0    0      0      0     0     0.00
 335   56    2    0.00   0.00     0      0    0      0      0     0     0.00
 336    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 337   71    2    0.00   0.00     0      0    0      0      0     0     0.00
 338   29    2    0.00   0.00     0      0    0      0      0     0     0.00
 339   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 340   24    2    0.00   0.00     0      0    0      0      0     0     0.00
 341    3    0   75.00  75.00     3      4    4      0      3     1    33.33
 342   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 343    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 344    5    2    0.00   0.00     0      0    0      0      0     0     0.00
 345   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 346    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 347    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 348   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 349    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 350   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 351    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 352   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 353   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 354   21    2    0.00   0.00     0      0    0      0      0     0     0.00
 355   25    2    0.00   0.00     0      0    0      0      0     0     0.00
 356   28    2    0.00   0.00     0      0    0      0      0     0     0.00
 357    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 358   13    2    0.00   0.00     0      0    0      0      0     0     0.00
 359   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 360   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 361   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 362    7    2    0.00   0.00     0      0    0      0      0     0     0.00
 363   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 364   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 365   35    2    0.00   0.00     0      0    0      0      0     0     0.00
 366   31    2    0.00   0.00     0      0    0      0      0     0     0.00
 367   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 368   26    2    0.00   0.00     0      0    0      0      0     0     0.00
 369    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 370   29    2    0.00   0.00     0      0    0      0      0     0     0.00
 371   25    2    0.00   0.00     0      0    0      0      0     0     0.00
 372   29    2    0.00   0.00     0      0    0      0      0     0     0.00
 373   36    2    0.00   0.00     0      0    0      0      0     0     0.00
 374    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 375   36    0   21.62  21.62     8     37   37     14     36     9    25.00
 376    5    2    0.00   0.00     0      0    0      0      0     0     0.00
 377   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 378   17    0   44.44  44.44     8     18   18      7     17     9    52.94
 379   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 380    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 381   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 382   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 383    4    0   40.00  40.00     2      5    5      1      4     0     0.00
 384   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 385    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 386    6    0   28.57  28.57     2      7    7      1      6     1    16.67
 387   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 388    5    2    0.00   0.00     0      0    0      0      0     0     0.00
 389    7    0   37.50  37.50     3      8    8      0      7     1    14.29
 390    7    2    0.00   0.00     0      0    0      0      0     0     0.00
 391    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 392   11    0   33.33  33.33     4     12   12      3     11     3    27.27
 393   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 394    8    2    0.00   0.00     0      0    0      0      0     0     0.00
 395   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 396   27    2    0.00   0.00     0      0    0      0      0     0     0.00
 397   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 398    7    2    0.00   0.00     0      0    0      0      0     0     0.00
 399    8    2    0.00   0.00     0      0    0      0      0     0     0.00
 400   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 401   29    2    0.00   0.00     0      0    0      0      0     0     0.00
 402    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 403   19    0   25.00  25.00     5     20   20      4     19     6    31.58
 404   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 405    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 406    4    2    0.00   0.00     0      0    0      0      0     0     0.00
 407    5    2    0.00   0.00     0      0    0      0      0     0     0.00
 408   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 409    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 410   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 411   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 412   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 413   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 414    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 415    7    2    0.00   0.00     0      0    0      0      0     0     0.00
